OBFCM data source,ID,OBFCM ReportingPeriod,Registration Year,Total fuel consumed (lifetime) (l),Total distance travelled (lifetime) (km),Total distance travelled in charge depleting operation with engine off (lifetime) (km),Total distance travelled in charge depleting operation with engine running (lifetime) (km),Total distance travelled in driver-selectable charge increasing operation (lifetime)  (km),Total fuel consumed in charge depleting operation (lifetime) (l),Total fuel consumed in driver-selectable charge increasing operation (lifetime) (l),Total grid energy into the battery (lifetime) (kWh),Used in calculation
OEM,5766388,2021,2021,190.48,4157.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766004,2021,2021,213.07,3819,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8391025,2021,2021,2214.22,43875.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766289,2021,2021,1625.68,29230.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8391021,2021,2021,2247.99,45157.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766358,2021,2021,778.99,16925.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766096,2021,2021,114.67,2377.9,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766093,2021,2021,1830.15,35597.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5841471,2021,2021,391.96,4786.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766779,2021,2021,984.59,16325,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5841482,2021,2021,1.32,7.4,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,9538916,2021,2021,1.47,11.9,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,9538917,2021,2021,1.86,12.6,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,9538921,2021,2021,1.7,12.6,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,9538922,2021,2021,3.47,35.5,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,5766102,2021,2021,484.75,8670,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9817834,2021,2021,31.93,254,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,8944732,2021,2021,498.11,8291.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9803579,2021,2021,311.4,3905,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5765767,2021,2021,304.34,4474.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9521500,2021,2021,330.12,3739.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9517017,2021,2021,349.92,4674.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5765694,2021,2021,405.52,6769.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5765769,2021,2021,1021.08,15314.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5765642,2021,2021,464.31,7025.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9982917,2021,2021,755.43,13590.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8399855,2021,2021,1037.53,20365.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766187,2021,2021,985.13,16649.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766280,2021,2021,477.31,8995.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766174,2021,2021,2520.25,48752,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8390993,2021,2021,968.03,19145.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10218736,2021,2021,80.5,894,0,0,0,0,0,0,1
OEM,5713594,2021,2021,1939,24103,0,0,0,0,0,0,1
OEM,8816323,2021,2021,1.5,6.2,0,0,0,0,0,0,0
OEM,5713974,2021,2021,629,10682,0,0,0,0,0,0,1
OEM,8816413,2021,2021,2.1,14.5,0,0,0,0,0,0,0
OEM,10091017,2021,2021,2.7,5.7,0,0,0,0,0,0,0
OEM,8398237,2021,2021,1.2,5.6,0,0,0,0,0,0,0
OEM,10091022,2021,2021,3.1,14,0,0,0,0,0,0,0
OEM,8397133,2021,2021,1.3,6.3,0,0,0,0,0,0,0
OEM,8816544,2021,2021,1.1,41.3,0,0,0,0,0,0,0
OEM,8816317,2021,2021,1.2,5,0,0,0,0,0,0,0
OEM,8816361,2021,2021,2.3,8.2,0,0,0,0,0,0,0
OEM,8816386,2021,2021,1,11.1,0,0,0,0,0,0,0
OEM,8816391,2021,2021,1.5,5.7,0,0,0,0,0,0,0
OEM,8816514,2021,2021,1.2,5,0,0,0,0,0,0,0
OEM,8398191,2021,2021,1.3,7.3,0,0,0,0,0,0,0
OEM,8398196,2021,2021,1.9,7.5,0,0,0,0,0,0,0
OEM,8816618,2021,2021,1.4,12.8,0,0,0,0,0,0,0
OEM,8816624,2021,2021,2.2,13.3,0,0,0,0,0,0,0
OEM,8816327,2021,2021,1.7,8.3,0,0,0,0,0,0,0
OEM,8816357,2021,2021,5.3,44.4,0,0,0,0,0,0,0
OEM,8816462,2021,2021,1,4.9,0,0,0,0,0,0,0
OEM,5713756,2021,2021,540,7507,0,0,0,0,0,0,1
OEM,8816173,2021,2021,2,16.2,0,0,0,0,0,0,0
OEM,8816174,2021,2021,2.5,20.1,0,0,0,0,0,0,0
OEM,8816175,2021,2021,2.2,17.4,0,0,0,0,0,0,0
OEM,8816176,2021,2021,1.5,10.7,0,0,0,0,0,0,0
OEM,8816328,2021,2021,1.2,4.8,0,0,0,0,0,0,0
OEM,8816339,2021,2021,11.1,116.7,0,0,0,0,0,0,0
OEM,8816390,2021,2021,1.6,6.5,0,0,0,0,0,0,0
OEM,10013385,2021,2021,1.1,4.4,0,0,0,0,0,0,0
OEM,8815628,2021,2021,1.2,5.4,0,0,0,0,0,0,0
OEM,8815641,2021,2021,1.4,7.2,0,0,0,0,0,0,0
OEM,8816102,2021,2021,1.4,6.8,0,0,0,0,0,0,0
OEM,8816181,2021,2021,2.7,17.5,0,0,0,0,0,0,0
OEM,8815692,2021,2021,1.5,6.5,0,0,0,0,0,0,0
OEM,10218719,2021,2021,1,4.7,0,0,0,0,0,0,0
OEM,10218722,2021,2021,1,6.1,0,0,0,0,0,0,0
OEM,8816322,2021,2021,2.1,7.1,0,0,0,0,0,0,0
OEM,8816334,2021,2021,1.2,4.1,0,0,0,0,0,0,0
OEM,8816511,2021,2021,1.2,4.5,0,0,0,0,0,0,0
OEM,8816366,2021,2021,3.9,27.6,0,0,0,0,0,0,0
OEM,8816447,2021,2021,103.8,1119.6,0,0,0,0,0,0,1
OEM,8816025,2021,2021,1.1,5,0,0,0,0,0,0,0
OEM,8816051,2021,2021,4.2,48.6,0,0,0,0,0,0,0
OEM,8816074,2021,2021,1,6.3,0,0,0,0,0,0,0
OEM,6534283,2021,2021,1.1,4.5,0,0,0,0,0,0,0
OEM,10108876,2021,2021,2.2,5.8,0,0,0,0,0,0,0
OEM,8816343,2021,2021,1.4,5.9,0,0,0,0,0,0,0
OEM,8816345,2021,2021,1.2,4.6,0,0,0,0,0,0,0
OEM,8816346,2021,2021,1.2,4,0,0,0,0,0,0,0
OEM,8816349,2021,2021,1.7,12.1,0,0,0,0,0,0,0
OEM,8816350,2021,2021,1.6,5.5,0,0,0,0,0,0,0
OEM,8816351,2021,2021,1.2,13.5,0,0,0,0,0,0,0
OEM,8816352,2021,2021,1.7,17.2,0,0,0,0,0,0,0
OEM,8816356,2021,2021,1.5,11.2,0,0,0,0,0,0,0
OEM,8816359,2021,2021,1.5,5.5,0,0,0,0,0,0,0
OEM,8816360,2021,2021,1.7,6.5,0,0,0,0,0,0,0
OEM,8816367,2021,2021,2.1,4.2,0,0,0,0,0,0,0
OEM,8816369,2021,2021,1.2,6,0,0,0,0,0,0,0
OEM,8816380,2021,2021,1.4,5.7,0,0,0,0,0,0,0
